id,居住地,性別,年齡,年齡組,教育程度,職業,婚姻狀況,媒體習慣
258,桃園市,女,48,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat
259,桃園市,男,74,65歲以上,國中,技術工/勞工,已婚,LINE、Facebook、Instagram
260,金門縣,男,23,15–24歲,碩士以上,學生,未婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat
261,臺中市,女,58,55–64歲,高中(職),家管,未婚,LINE、Facebook、小紅書
262,新北市,女,61,55–64歲,專科,事務人員,已婚,LINE、Facebook、YouTube、Threads
263,雲林縣,男,64,55–64歲,國小以下,退休,未婚,LINE、Facebook、YouTube、Instagram、TikTok
264,臺南市,女,63,55–64歲,碩士以上,退休,已婚,LINE、Facebook、YouTube、Instagram
265,高雄市,男,54,45–54歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube
266,新北市,女,94,65歲以上,碩士以上,退休,已婚,LINE、Facebook、YouTube、WeChat
267,高雄市,男,29,25–34歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
268,臺南市,女,18,15–24歲,大學,農林漁牧,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)、WhatsApp
269,高雄市,女,68,65歲以上,國中,退休,已婚,LINE、Facebook、YouTube
270,臺北市,男,59,55–64歲,高中(職),專業人員,未婚,LINE、Facebook、YouTube
271,桃園市,男,29,25–34歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
272,臺南市,女,43,35–44歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube
273,新北市,女,58,55–64歲,國中,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
274,新北市,男,76,65歲以上,大學,退休,已婚,LINE、X(Twitter)
275,臺北市,女,45,45–54歲,專科,家管,已婚,LINE、Facebook、YouTube、Instagram
276,新北市,女,22,15–24歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads
277,高雄市,女,80,65歲以上,大學,服務/銷售,未婚,LINE、Facebook、YouTube
278,臺中市,女,43,35–44歲,國中,專業人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads
279,臺北市,男,45,45–54歲,大學,專業人員,未婚,LINE、Facebook、YouTube、Instagram、Snapchat
280,花蓮縣,女,54,45–54歲,高中(職),家管,未婚,LINE、Facebook、YouTube
281,臺南市,女,56,55–64歲,大學,技術工/勞工,已婚,LINE、Facebook、Instagram、TikTok、WeChat
282,臺北市,男,56,55–64歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok
283,臺中市,男,46,45–54歲,專科,家管,已婚,LINE、Facebook、YouTube、Instagram、Telegram
284,新竹市,女,40,35–44歲,大學,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads
285,臺中市,男,54,45–54歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、YouTube、TikTok、WeChat
286,屏東縣,女,25,25–34歲,國中,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
287,臺南市,女,63,55–64歲,專科,退休,已婚,LINE、Facebook、YouTube、TikTok
288,臺中市,男,27,25–34歲,國中,家管,未婚,LINE、Facebook、YouTube、TikTok
289,臺南市,男,43,35–44歲,高中(職),技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、WeChat
290,宜蘭縣,女,57,55–64歲,大學,家管,已婚,LINE、Facebook、YouTube、Instagram
291,新北市,女,33,25–34歲,高中(職),其他/待業,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
292,彰化縣,男,16,15–24歲,專科,學生,未婚,LINE、Facebook、YouTube、TikTok、小紅書
293,新北市,女,45,45–54歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube
294,新竹縣,女,73,65歲以上,高中(職),其他/待業,已婚,LINE、Facebook、Instagram
295,嘉義市,男,57,55–64歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
296,新北市,男,61,55–64歲,專科,退休,已婚,LINE、Facebook、Instagram、TikTok
297,新北市,男,25,25–34歲,大學,服務/銷售,未婚,LINE、Facebook、Instagram、TikTok、WeChat
298,臺中市,女,27,25–34歲,大學,事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok
299,新竹市,女,69,65歲以上,專科,退休,已婚,LINE、Facebook、YouTube
300,臺中市,男,29,25–34歲,大學,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、X(Twitter)
301,新北市,男,16,15–24歲,國中,學生,未婚,LINE、Facebook、YouTube、Instagram、X(Twitter)、LinkedIn
302,桃園市,女,20,15–24歲,碩士以上,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok
303,彰化縣,男,30,25–34歲,國中,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、小紅書
304,臺南市,男,48,45–54歲,國小以下,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
305,雲林縣,男,55,55–64歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、小紅書
306,彰化縣,男,80,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Telegram
307,新北市,女,70,65歲以上,專科,退休,已婚,LINE、Facebook、Instagram
308,臺中市,女,42,35–44歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram
309,新北市,男,58,55–64歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、TikTok、Threads
310,花蓮縣,男,18,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads、X(Twitter)
311,桃園市,女,22,15–24歲,大學,學生,未婚,LINE、YouTube、Instagram、TikTok、小紅書、WeChat、X(Twitter)、WhatsApp
312,臺南市,男,48,45–54歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads、X(Twitter)
313,臺北市,女,55,55–64歲,專科,管理/主管,已婚,LINE、Facebook、Instagram
314,桃園市,女,57,55–64歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube
315,臺南市,女,58,55–64歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram
316,高雄市,女,46,45–54歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
317,南投縣,男,66,65歲以上,高中(職),家管,未婚,LINE、Facebook、YouTube、小紅書、WeChat、Threads
318,臺中市,女,61,55–64歲,國中,退休,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、X(Twitter)
319,臺南市,女,88,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、小紅書
320,高雄市,男,22,15–24歲,國小以下,其他/待業,未婚,LINE、Facebook、YouTube、TikTok、小紅書、Threads
321,臺北市,男,41,35–44歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok
322,高雄市,女,61,55–64歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、Threads
323,臺南市,男,26,25–34歲,國小以下,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
324,桃園市,男,59,55–64歲,專科,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、WeChat
325,金門縣,女,65,65歲以上,高中(職),家管,未婚,LINE、Facebook、Instagram
326,高雄市,男,16,15–24歲,國小以下,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、Threads
327,新北市,女,60,55–64歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok
328,臺北市,男,32,25–34歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、TikTok、小紅書、WeChat
329,桃園市,女,65,65歲以上,專科,其他/待業,未婚,LINE、Facebook
330,臺南市,男,50,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
331,屏東縣,女,25,25–34歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、TikTok、小紅書
332,彰化縣,男,41,35–44歲,大學,技術工/勞工,已婚,LINE、Facebook、Instagram、TikTok、小紅書、WeChat
333,臺北市,女,41,35–44歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Tumblr
334,基隆市,女,49,45–54歲,高中(職),事務人員,未婚,LINE、Facebook、TikTok、小紅書
335,新北市,男,81,65歲以上,專科,退休,已婚,LINE、Facebook、YouTube、Instagram、Threads、Telegram
336,臺中市,男,95,65歲以上,高中(職),退休,未婚,LINE、Facebook、Instagram
337,嘉義縣,男,20,15–24歲,大學,學生,未婚,LINE、Facebook、Instagram、TikTok、WhatsApp、Telegram、LinkedIn
338,屏東縣,女,65,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram
339,臺中市,女,17,15–24歲,國小以下,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
340,臺南市,女,39,35–44歲,國中,專業人員,已婚,LINE、Facebook、TikTok、Telegram
341,臺南市,女,83,65歲以上,高中(職),退休,未婚,LINE、Facebook
342,彰化縣,女,44,35–44歲,大學,技術/助理專業,已婚,LINE、Facebook、Instagram、小紅書
343,新北市,男,72,65歲以上,大學,退休,未婚,LINE、Facebook、YouTube
344,高雄市,女,23,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
345,屏東縣,女,66,65歲以上,國小以下,退休,未婚,LINE、Facebook
346,臺中市,男,68,65歲以上,大學,退休,未婚,LINE、Facebook、Instagram
347,新北市,男,48,45–54歲,高中(職),管理/主管,未婚,LINE、Facebook、YouTube、Instagram、TikTok
348,彰化縣,男,54,45–54歲,專科,其他/待業,未婚,LINE、Facebook、YouTube、TikTok
349,屏東縣,女,93,65歲以上,高中(職),家管,已婚,LINE、Facebook、Instagram、小紅書
350,新北市,女,53,45–54歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、X(Twitter)
351,新北市,男,74,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、Instagram
352,彰化縣,女,51,45–54歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat、Snapchat
353,新竹縣,男,89,65歲以上,碩士以上,專業人員,未婚,LINE、Facebook、YouTube
354,臺北市,女,48,45–54歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok
355,高雄市,女,34,25–34歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、X(Twitter)
356,高雄市,男,37,35–44歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok
357,臺北市,男,65,65歲以上,專科,專業人員,已婚,LINE、Facebook、YouTube、Instagram、WeChat、Threads
358,基隆市,男,18,15–24歲,大學,專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads、Pinterest
359,高雄市,女,57,55–64歲,大學,技術工/勞工,已婚,LINE、YouTube、Instagram
360,雲林縣,男,34,25–34歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、WhatsApp
361,花蓮縣,男,37,35–44歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
362,新北市,女,29,25–34歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
363,澎湖縣,男,72,65歲以上,大學,退休,已婚,LINE、Facebook、小紅書
364,桃園市,男,30,25–34歲,高中(職),事務人員,未婚,LINE、Facebook、Instagram、TikTok、Snapchat
365,雲林縣,男,49,45–54歲,國中,服務/銷售,未婚,LINE、Facebook、YouTube
366,宜蘭縣,女,55,55–64歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、Pinterest
367,臺北市,女,23,15–24歲,碩士以上,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、X(Twitter)
368,新竹縣,女,17,15–24歲,大學,農林漁牧,未婚,LINE、Facebook、Instagram、TikTok
369,桃園市,男,61,55–64歲,專科,退休,未婚,LINE、Facebook、YouTube、Instagram、小紅書
370,臺北市,女,23,15–24歲,大學,事務人員,未婚,LINE、YouTube、Instagram、TikTok、小紅書、X(Twitter)、WhatsApp
371,臺中市,女,61,55–64歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、WeChat
372,新北市,女,72,65歲以上,專科,退休,已婚,LINE、Facebook、YouTube
373,高雄市,男,23,15–24歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
374,臺東縣,女,59,55–64歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
375,苗栗縣,女,40,35–44歲,國中,家管,未婚,LINE、Facebook、YouTube、TikTok、WeChat
376,臺中市,女,40,35–44歲,專科,技術/助理專業,已婚,LINE、Facebook、YouTube、WeChat、Pinterest
377,臺北市,男,64,55–64歲,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram
378,嘉義縣,男,60,55–64歲,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
379,臺南市,女,25,25–34歲,碩士以上,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads、X(Twitter)
380,苗栗縣,男,25,25–34歲,專科,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
381,臺南市,女,46,45–54歲,高中(職),農林漁牧,已婚,LINE、YouTube、Instagram、TikTok
382,高雄市,男,22,15–24歲,國中,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、小紅書、X(Twitter)、Pinterest、LinkedIn
383,苗栗縣,女,41,35–44歲,國小以下,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
384,屏東縣,女,53,45–54歲,國小以下,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、WhatsApp
385,彰化縣,男,27,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、WhatsApp、LinkedIn、Tumblr
386,新北市,女,59,55–64歲,大學,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram
387,新北市,女,66,65歲以上,高中(職),退休,已婚,LINE、Facebook、Telegram
388,苗栗縣,女,63,55–64歲,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram
389,臺中市,女,66,65歲以上,國小以下,退休,已婚,LINE、Facebook、YouTube、Instagram、WhatsApp
390,高雄市,女,18,15–24歲,國中,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
391,新北市,女,59,55–64歲,大學,服務/銷售,未婚,LINE、Facebook、TikTok、Threads
392,高雄市,男,45,45–54歲,大學,服務/銷售,已婚,LINE、YouTube、Instagram、TikTok
393,臺北市,男,45,45–54歲,大學,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、Threads
394,彰化縣,女,27,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads、X(Twitter)
395,臺北市,女,33,25–34歲,大學,專業人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads、X(Twitter)、WhatsApp、Pinterest
396,苗栗縣,男,76,65歲以上,國小以下,退休,已婚,LINE、Facebook、Instagram
397,臺南市,男,63,55–64歲,高中(職),退休,未婚,LINE、Facebook、Instagram
398,彰化縣,女,54,45–54歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram
399,桃園市,女,71,65歲以上,大學,退休,已婚,LINE、Facebook、Instagram
400,南投縣,女,54,45–54歲,國小以下,家管,已婚,LINE、Facebook、YouTube、TikTok
401,臺南市,男,54,45–54歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
402,臺南市,男,71,65歲以上,國小以下,退休,已婚,LINE、Facebook、TikTok
403,桃園市,女,63,55–64歲,專科,退休,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
404,桃園市,男,25,25–34歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
405,嘉義縣,女,43,35–44歲,碩士以上,農林漁牧,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Pinterest
406,新北市,男,63,55–64歲,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram、Pinterest
407,宜蘭縣,女,40,35–44歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat
408,苗栗縣,男,80,65歲以上,碩士以上,退休,未婚,LINE、Facebook、YouTube、Instagram
409,新北市,女,63,55–64歲,專科,退休,未婚,LINE、Facebook
410,新北市,男,40,35–44歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、Telegram
411,新北市,女,77,65歲以上,國中,家管,未婚,LINE、Facebook
412,高雄市,女,63,55–64歲,大學,退休,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads
413,臺北市,男,54,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、小紅書
414,新北市,女,57,55–64歲,國中,技術工/勞工,未婚,LINE、Facebook、Instagram、Threads
415,桃園市,男,45,45–54歲,大學,專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok
416,雲林縣,女,54,45–54歲,高中(職),農林漁牧,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
417,嘉義市,女,87,65歲以上,高中(職),退休,未婚,LINE、Facebook、YouTube、Instagram
418,雲林縣,女,43,35–44歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Threads
419,彰化縣,女,44,35–44歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube、Threads
420,臺北市,男,60,55–64歲,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram、小紅書
421,苗栗縣,女,58,55–64歲,碩士以上,家管,已婚,LINE、Facebook、Threads
422,新北市,男,43,35–44歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
423,新北市,女,74,65歲以上,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube
